1st_place_medal|1st place medal
sun_behind_rain_cloud|Sun behind rain cloud
sun_behind_small_cloud|Sun behind small cloud
sun_with_face|Sun with face
sunflower|Sunflower
sunglasses|Sunglasses
sunrise|Sunrise
sunrise_over_mountains|Sunrise over mountains
sunset|Sunset
sushi|Sushi
suspension_railway|Suspension railway
swan|Swan
sweat_droplets|Sweat droplets
synagogue|Synagogue
syringe|Syringe
t-rex|T-rex
t-shirt|T-shirt
taco|Taco
takeout_box|Takeout box
tamale|Tamale
tanabata_tree|Tanabata tree
tangerine|Tangerine
taurus|Taurus
taxi|Taxi
teacup_without_handle|Teacup without handle
teapot|Teapot
tear-off_calendar|Tear-off calendar
teddy_bear|Teddy bear
telephone|Telephone
telephone_receiver|Telephone receiver
telescope|Telescope
television|Television
ten-thirty|Ten-thirty
ten_oclock|Ten oclock
tennis|Tennis
tent|Tent
test_tube|Test tube
thermometer|Thermometer
thinking_face|Thinking face
thong_sandal|Thong sandal
thought_balloon|Thought balloon
thread|Thread
three-thirty|Three-thirty
three_oclock|Three oclock
ticket|Ticket
tiger|Tiger
tiger_face|Tiger face
timer_clock|Timer clock
tired_face|Tired face
toilet|Toilet
tokyo_tower|Tokyo tower
tomato|Tomato
tongue|Tongue
toolbox|Toolbox
tooth|Tooth
toothbrush|Toothbrush
top_arrow|Top arrow
top_hat|Top hat
tornado|Tornado
trackball|Trackball
tractor|Tractor
trade_mark|Trade mark
train|Train
tram|Tram
tram_car|Tram car
transgender_flag|Transgender flag
transgender_symbol|Transgender symbol
triangular_flag|Triangular flag
triangular_ruler|Triangular ruler
trident_emblem|Trident emblem
troll|Troll
trolleybus|Trolleybus
trophy|Trophy
tropical_drink|Tropical drink
tropical_fish|Tropical fish
trumpet|Trumpet
tulip|Tulip
tumbler_glass|Tumbler glass
turkey|Turkey
turtle|Turtle
twelve-thirty|Twelve-thirty
twelve_oclock|Twelve oclock
two-hump_camel|Two-hump camel
two-thirty|Two-thirty
two_hearts|Two hearts
two_oclock|Two oclock
umbrella|Umbrella
umbrella_on_ground|Umbrella on ground
umbrella_with_rain_drops|Umbrella with rain drops
unamused_face|Unamused face
unicorn|Unicorn
unlocked|Unlocked
up!_button|Up! button
up-down_arrow|Up-down arrow
up-left_arrow|Up-left arrow
up-right_arrow|Up-right arrow
up_arrow|Up arrow
upside-down_face|Upside-down face
upwards_button|Upwards button
vertical_traffic_light|Vertical traffic light
vibration_mode|Vibration mode
video_camera|Video camera
video_game|Video game
videocassette|Videocassette
violin|Violin
virgo|Virgo
volcano|Volcano
volleyball|Volleyball
vs_button|Vs button
waffle|Waffle
waning_crescent_moon|Waning crescent moon
waning_gibbous_moon|Waning gibbous moon
warning|Warning
wastebasket|Wastebasket
watch|Watch
water_buffalo|Water buffalo
water_closet|Water closet
water_pistol|Water pistol
water_wave|Water wave
watermelon|Watermelon
wavy_dash|Wavy dash
waxing_crescent_moon|Waxing crescent moon
waxing_gibbous_moon|Waxing gibbous moon
weary_cat|Weary cat
weary_face|Weary face
wedding|Wedding
whale|Whale
wheel|Wheel
wheel_of_dharma|Wheel of dharma
wheelchair_symbol|Wheelchair symbol
white_cane|White cane
white_circle|White circle
white_exclamation_mark|White exclamation mark
white_flag|White flag
white_flower|White flower
white_heart|White heart
white_large_square|White large square
white_medium-small_square|White medium-small square
white_medium_square|White medium square
white_question_mark|White question mark
white_small_square|White small square
white_square_button|White square button
wilted_flower|Wilted flower
wind_chime|Wind chime
wind_face|Wind face
window|Window
wine_glass|Wine glass
wing|Wing
winking_face|Winking face
winking_face_with_tongue|Winking face with tongue
wireless|Wireless
wolf|Wolf
woman_genie|Woman genie
woman_with_bunny_ears|Woman with bunny ears
woman_wrestling|Woman wrestling
woman_zombie|Woman zombie
womans_boot|Womans boot
womans_clothes|Womans clothes
womans_hat|Womans hat
womans_sandal|Womans sandal
womens_room|Womens room
wood|Wood
woozy_face|Woozy face
world_map|World map
worm|Worm
worried_face|Worried face
wrapped_gift|Wrapped gift
wrench|Wrench
x-ray|X-ray
yarn|Yarn
yawning_face|Yawning face
yellow_circle|Yellow circle
yellow_heart|Yellow heart
yellow_square|Yellow square
yen_banknote|Yen banknote
yin_yang|Yin yang
yo-yo|Yo-yo
zany_face|Zany face
zebra|Zebra
zipper-mouth_face|Zipper-mouth face
zzz|Zzz
